timestamp_local,punto_id,punto_nombre,identificador,evento,severidad_cap,color_smn,urgencia,certeza,inicio,expira,titulo,descripcion,url
2026-09-19T12:37:35,anelo_pueblo,Añelo Pueblo,urn:oid:2.49.0.1.32.0.2026.09.19.09.18.58.18,Viento,Moderate,amarillo,Future,Likely,2026-09-20T09:00:00-03:00,2026-09-21T02:59:59-03:00,Viento,"El área será afectada por vientos del sector oeste con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h. Hacia la noche del domingo habrá una rotación al sector sur, por lo que la región costera de Chubut y Rio Negro se verán afectadas por vientos con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h.",https://ssl.smn.gob.ar/feeds/CAP/xml_generados/CAP_20260919091935_Viento_Patagonia_alertas_alertas_18.xml
2026-09-19T12:37:35,acceso_meseta,Acceso Meseta,urn:oid:2.49.0.1.32.0.2026.09.19.09.18.58.18,Viento,Moderate,amarillo,Future,Likely,2026-09-20T09:00:00-03:00,2026-09-21T02:59:59-03:00,Viento,"El área será afectada por vientos del sector oeste con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h. Hacia la noche del domingo habrá una rotación al sector sur, por lo que la región costera de Chubut y Rio Negro se verán afectadas por vientos con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h.",https://ssl.smn.gob.ar/feeds/CAP/xml_generados/CAP_20260919091935_Viento_Patagonia_alertas_alertas_18.xml
2026-09-19T12:37:35,tratayen_sur,Tratayén / Sector Sur,urn:oid:2.49.0.1.32.0.2026.09.19.09.18.58.18,Viento,Moderate,amarillo,Future,Likely,2026-09-20T09:00:00-03:00,2026-09-21T02:59:59-03:00,Viento,"El área será afectada por vientos del sector oeste con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h. Hacia la noche del domingo habrá una rotación al sector sur, por lo que la región costera de Chubut y Rio Negro se verán afectadas por vientos con velocidades entre 40 y 60 km/h y ráfagas que pueden superar los 100 km/h.",https://ssl.smn.gob.ar/feeds/CAP/xml_generados/CAP_20260919091935_Viento_Patagonia_alertas_alertas_18.xml
